,text,intent,fromloc.city_name,depart_time.time,toloc.city_name,arrive_time.time,arrive_time.period_of_day,depart_date.day_name,depart_time.period_of_day,flight_time,cost_relative,round_trip,fare_amount,depart_date.today_relative,city_name,stoploc.city_name,toloc.airport_code,depart_time.time_relative,class_type,depart_date.date_relative,airline_name,arrive_time.time_relative,depart_time.start_time,depart_time.end_time,fromloc.airport_name,toloc.state_name,depart_date.day_number,depart_date.month_name,mod,fare_basis_code,transport_type,flight_mod,arrive_date.month_name,arrive_date.day_number,meal,toloc.state_code,meal_description,return_date.month_name,return_date.day_number,airline_code,depart_time.period_mod,flight_stop,fromloc.airport_code,arrive_date.day_name,time,or,economy,flight_number,arrive_time.period_mod,flight_days,toloc.airport_name,state_code,arrive_time.start_time,arrive_time.end_time,fromloc.state_name,arrive_date.date_relative,depart_date.year,return_date.date_relative,airport_code,aircraft_code,fromloc.state_code,connect,restriction_code,airport_name,toloc.country_name,days_code,day_name,period_of_day,today_relative,stoploc.state_code,meal_code,state_name,stoploc.airport_name,arrive_date.today_relative,time_relative,return_time.period_of_day,return_time.period_mod,month_name,day_number,return_date.today_relative,return_date.day_name
2626,what is fare code fn,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,fn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,from washington to atlanta,flight,washington,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,what is the earliest morning flight leaving boston for washington,flight,boston,,washington,,,,morning,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,what flights are there from newark to seattle on saturday,flight,newark,,seattle,,,saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2630,what flights are there between atlanta and denver,flight,atlanta,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2631,what are the flights from pittsburgh to oakland,flight,pittsburgh,,oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,i would like to travel from denver to pittsburgh,flight,denver,,pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2633,all flights from pittsburgh to philadelphia,flight,pittsburgh,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2634,looking for a flight from toronto to san diego,flight,toronto,,san diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2635,do you have a flight from atlanta to baltimore nonstop on a boeing 757 arriving baltimore around 7 pm,flight,atlanta,,baltimore,7 pm,,,,,,,,,,,,,,,,around,,,,,,,,,,,,,,,,,,,,nonstop,,,,,,,,,,,,,,,,,,757,,,,,,,,,,,,,,,,,,,,,
2636,which airlines fly from boston to washington dc via other cities,airline,boston,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,what is the cheapest fare between atlanta and san francisco,airfare,atlanta,,san francisco,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,please show me all round trip flights from new york to miami,flight,new york,,miami,,,,,,,round trip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2639,ground transportation from airport in boston to downtown boston,ground_service,boston,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2640,find me the earliest boston departure and the latest atlanta return trip so that i can be on the ground the maximum amount of time in atlanta and return to boston on the same day,flight,atlanta,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,latest,,,,,,,,,,,,,,,,,,,,,,,,,,day,,,,,,,,,,,,,,,,,,,,,,,
2641,what are the fares for flights serving a meal from boston to pittsburgh before noon on thursday,airfare,boston,noon,pittsburgh,,,thursday,,,,,,,,,,before,,,,,,,,,,,,,,,,,meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642,list all the takeoffs and landings at general mitchell international,flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general mitchell international,,,,,,,,,,,,,,,,,
2643,i would like to fly from denver to pittsburgh on the cheapest flight possible,flight,denver,,pittsburgh,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2644,show me the flights arriving on baltimore on june fourteenth,flight,,,baltimore,,,,,,,,,,,,,,,,,,,,,,,,,,,,june,fourteenth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2645,list all flights going from boston to atlanta after 6 o'clock pm on wednesday,flight,boston,6 o'clock pm,atlanta,,,wednesday,,,,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2646,show me all twa flights please,flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2647,show flights from memphis to las vegas,flight,memphis,,las vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,what does code yn mean,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,yn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,what flights are there on continental from seattle to chicago,flight,seattle,,chicago,,,,,,,,,,,,,,,,continental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,what is the cheapest one way flight from atlanta to boston,flight,atlanta,,boston,,,,,,cheapest,one way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,show me the flights from boston to san francisco that arrive in the afternoon,flight,boston,,san francisco,,afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,does midwest express serve montreal,flight,,,,,,,,,,,,,montreal,,,,,,midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,what is the cheapest fare between denver and boston,airfare,denver,,boston,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,i need to go to pittsburgh and denver,flight,,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,now i want to see return flights from miami to new york,flight,miami,,new york,,,,,,,return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,us air flights departing from charlotte around 1 pm,flight,charlotte,1 pm,,,,,,,,,,,,,,around,,,us air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2657,what 's the earliest flight i can get between boston and dallas,flight,boston,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2658,what is the thrift economy flight fare from washington to san francisco,airfare,washington,,san francisco,,,,,,,,,,,,,,thrift,,,,,,,,,,,,,,,,,,,,,,,,,,,,economy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659,i would like information on ground transportation in atlanta from the airport to the city in the morning around 9 am,ground_service,,,,,,,,,,,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 am,,,,,,,,,,,,,,,,,,,,,,,morning,,,,,,,around,,,,,,
2660,show me all the flights from atlanta to baltimore on any airline on thursday,flight,atlanta,,baltimore,,,thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2661,may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday,flight_no,columbus,,minneapolis,,,monday,,,,,,,,,,,,,,,,,,minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ohio,,,,,,,,,,,,,,,,,,,,,,,,,,
2662,i am interested in booking an early morning flight from dallas into houston on february twenty second and returning late in the evening of february twenty second,flight,dallas,,houston,,,,morning,,,,,,,,,,,,,,,,,,twenty second,february,,,,,,,,,,february,twenty second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evening,,,,,
2663,show me ground transportation for dallas,ground_service,,,,,,,,,,,,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2664,list flights from cincinnati to san jose friday evening,flight,cincinnati,,san jose,,,friday,evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2665,what airlines fly from boston to washington,airline,boston,,washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666,show me flights from boston to denver,flight,boston,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2667,show me the airlines between boston and toronto,airline,boston,,toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2668,show me morning flights from atlanta to philadelphia,flight,atlanta,,philadelphia,,,,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2669,what are the cheapest flights from denver to pittsburgh that stop in atlanta,flight,denver,,pittsburgh,,,,,,cheapest,,,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2670,how many cities are served by continental with first class flights,quantity,,,,,,,,,,,,,,,,,first class,,continental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671,show me the latest flight from san francisco to denver,flight,san francisco,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2672,show me all flights from indianapolis to montreal,flight,indianapolis,,montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2673,what 're the cheapest flights from new york to miami,flight,new york,,miami,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,show me flights from denver to washington dc wednesday,flight,denver,,washington,,,wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2675,what are the flights from washington dc to denver,flight,washington,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dc,,,,,,,,,,,,,,,,,,,,
2676,show me all flights both direct and connecting to either san francisco or oakland from boston that arrive before 2 pm,flight,boston,,oakland,2 pm,,,,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2677,i 'd like a flight from las vegas to detroit on monday,flight,las vegas,,detroit,,,monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2678,baltimore to philadelphia wednesday,flight,baltimore,,philadelphia,,,wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2679,can you list flights from boston to washington with the lowest one way fares that leave on saturday,flight,boston,,washington,,,saturday,,,lowest,one way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2680,what flights go from san francisco to denver on mondays,flight,san francisco,,denver,,,mondays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2681,pittsburgh to denver,flight,pittsburgh,,denver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,leaving denver flying to san francisco before 10 am what type of aircraft is used,aircraft,denver,10 am,san francisco,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2683,what flights does delta have from dallas to denver after 5 o'clock,flight,dallas,5 o'clock,denver,,,,,,,,,,,,,after,,,delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2684,do you have any direct flights from pittsburgh to atlanta,flight,pittsburgh,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direct,,,,,,,,,,,,,,,,,,,
2685,list daily flights from denver to boston,flight,denver,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2686,what are the flights from denver to pittsburgh,flight,denver,,pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2687,which flights arrive in st. louis from st. paul on thursday morning,flight,st. paul,,st. louis,,morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2688,how far from the airport in the dallas fort worth airport is dallas,distance,dallas,,,,,,,,,,,,,,,,,,,,,,dallas fort worth airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,what flights are available friday from philadelphia to oakland,flight,philadelphia,,oakland,,,friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,show me the flights before 11 am on august second from boston to denver on delta,flight,boston,11 am,denver,,,,,,,,,,,,,before,,,delta,,,,,,second,august,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,flights from pittsburgh to baltimore between 10 am and 2 pm,flight,pittsburgh,,baltimore,,,,,,,,,,,,,,,,,,10 am,2 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,what are the flights from boston to san francisco,flight,boston,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,what ground transportation is available from the pittsburgh airport to downtown and how much does it cost,ground_service+ground_fare,,,,,,,,,,,,,,,,,,,,,,,pittsburgh airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,what afternoon flights are available from denver to san francisco on wednesdays,flight,denver,,san francisco,,,wednesdays,afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,list all flights going from boston to atlanta before 7 am on thursday,flight,boston,7 am,atlanta,,,thursday,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,does dl stand for delta,abbreviation,,,,,,,,,,,,,,,,,,,delta,,,,,,,,,,,,,,,,,,,dl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,show me the flights from boston to pittsburgh,flight,boston,,pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,okay what flights are there us air from orlando to cleveland leaving in the afternoon,flight,orlando,,cleveland,,,,afternoon,,,,,,,,,,,,us air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,on august thirtieth i would like a flight from denver to san francisco in the early am,flight,denver,,san francisco,,,,am,,,,,,,,,,,,,,,,,,thirtieth,august,,,,,,,,,,,,,early,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,i want to see the cheapest flights from denver to atlanta,flight,denver,,atlanta,,,,,,cheapest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2701,what is the earliest flight you have leaving boston heading to philadelphia,flight,boston,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2702,i live in washington and i would like to make a trip to san francisco can you tell me which airlines connect with those two cities,flight,washington,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,flights from atlanta to san francisco august second,flight,atlanta,,san francisco,,,,,,,,,,,,,,,,,,,,,,second,august,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,i would like a flight from philadelphia to dallas that makes a stop in atlanta,flight,philadelphia,,dallas,,,,,,,,,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,flights from newark to boston,flight,newark,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706,what flights go from boston to atlanta,flight,boston,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707,list all flights please from washington to san francisco,flight,washington,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708,i would like to see the flights available from pittsburgh to san francisco for monday,flight,pittsburgh,,san francisco,,,monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2709,what is the fare on the first flight from atlanta to denver on thursday morning,airfare,atlanta,,denver,,,thursday,morning,,,,,,,,,,,,,,,,,,,,,,,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2710,please show me airlines with flights from denver to boston with stop in philadelphia,airline,denver,,boston,,,,,,,,,,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2711,how much does flight ua 270 from denver to philadelphia cost,airfare,denver,,philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ua,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712,looking for a flight from cleveland to dallas,flight,cleveland,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2713,i need a reservation from baltimore to san francisco,flight,baltimore,,san francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,flights from phoenix to las vegas,flight,phoenix,,las vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2715,how much is a round trip fare from nashville to seattle,airfare,nashville,,seattle,,,,,,,round trip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716,list all daily flights between boston and oakland using delta airlines,flight,boston,,oakland,,,,,,,,,,,,,,,,delta airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2717,how much is the ground transportation between atlanta and downtown,ground_fare,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2718,show me flights leaving from baltimore to dallas,flight,baltimore,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2719,what does yn stand for,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,yn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2720,what 's the capacity of a 733,capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,,,,,,,,,,,,,,,,,,,,,
2721,what kind of airplane goes from boston to san francisco before noon,aircraft,boston,noon,san francisco,,,,,,,,,,,,,before,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2722,round trip fares from baltimore to philadelphia under 1000 dollars,airfare,baltimore,,philadelphia,,,,,,under,round trip,1000 dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723,what is mco,abbreviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mco,,,,,,,,,,,,,,,,,,,,,,
2724,what are the afternoon flights from denver to san francisco,flight,denver,,san francisco,,,,afternoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725,what flights from newark to los angeles on wednesday,flight,newark,,los angeles,,,wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,show nonstop flights from new york to miami on a tuesday which cost less than 466 dollars one way,flight,new york,,miami,,,,,,less,one way,466 dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonstop,,tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,flights from montreal and phoenix to las vegas,flight,phoenix,,las vegas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728,give me the latest northwest airlines flight from milwaukee to tacoma tomorrow,flight,milwaukee,,tacoma,,,,,,,,,tomorrow,,,,,,,northwest airlines,,,,,,,,,,,latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729,what flights are available from boston to atlanta on july seventh 8 am,flight,boston,8 am,atlanta,,,,,,,,,,,,,,,,,,,,,,seventh,july,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,please list the earliest lunch flight from columbus to phoenix,flight,columbus,,phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,earliest,,,,,lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731,do you have a flight from atlanta to boston,flight,atlanta,,boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732,show me the flights that go from san diego to newark with one stop in houston,flight,san diego,,newark,,,,,,,,,,,houston,,,,,,,,,,,,,,,,,,,,,,,,,,one stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733,on monday show me flights from baltimore to dallas,flight,baltimore,,dallas,,,monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,show me flights from washington to boston on friday,flight,washington,,boston,,,friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2735,show me the flights from boston to pittsburgh on wednesday,flight,boston,,pittsburgh,,,wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,show me the lowest price from dallas to baltimore,flight,dallas,,baltimore,,,,,,lowest price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2737,ground transportation atl to atlanta,ground_service,,,atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atl,,,,,,,,,,,,,,,,,,,,,,
2738,how do you travel from san francisco airport to downtown san francisco,flight,,,san francisco,,,,,,,,,,,,,,,,,,,,san francisco airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2739,show flights between denver and san francisco for september seventeenth,flight,denver,,san francisco,,,,,,,,,,,,,,,,,,,,,,seventeenth,september,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,what ground transportation is there in dallas,ground_service,,,,,,,,,,,,,dallas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2741,show me the least expensive flight leaving miami on sunday after 12 o'clock noon and arriving cleveland,flight,miami,12 o'clock noon,cleveland,,,sunday,,,least expensive,,,,,,,after,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
